original_language,original_title,popularity,release_date,vote_average,vote_count,runtime_minutes,genres,averagerating,numvotes
en,Frozen,9.678,2,5.8,987,93.0,"Adventure,Drama,Sport",6.2,62311
en,Frozen,9.678,2,5.8,987,102.0,"Adventure,Animation,Comedy",7.5,516998
en,Frozen,26.183,11,7.3,9767,93.0,"Adventure,Drama,Sport",6.2,62311
en,Frozen,26.183,11,7.3,9767,102.0,"Adventure,Animation,Comedy",7.5,516998
en,Bereavement,9.55,7,5.3,71,103.0,"Crime,Horror,Thriller",5.1,6239
en,Inside Job,9.514,10,7.8,466,109.0,"Crime,Documentary",8.3,65304
en,Mother's Day,9.496,9,6.4,193,112.0,"Drama,Horror,Thriller",6.3,15012
en,Mother's Day,9.496,9,6.4,193,118.0,"Comedy,Drama,Romance",5.7,28854
en,Mother's Day,6.822,4,5.9,782,112.0,"Drama,Horror,Thriller",6.3,15012
en,Mother's Day,6.822,4,5.9,782,118.0,"Comedy,Drama,Romance",5.7,28854
en,Carrie,9.467,11,7.1,1766,100.0,"Drama,Horror",5.9,125424
en,Carrie,13.686,10,5.9,2681,100.0,"Drama,Horror",5.9,125424
en,Charlie St. Cloud,9.454,5,6.9,1398,99.0,"Drama,Fantasy,Romance",6.5,55016
en,Furry Vengeance,9.45,4,4.6,283,92.0,"Comedy,Family",3.8,14700
en,Casino Jack,9.432,12,6.1,149,108.0,"Biography,Comedy,Crime",6.2,16191
en,Another Year,9.394,12,7.0,150,129.0,"Comedy,Drama",7.3,26273
en,Letters to Juliet,9.394,5,6.9,1706,105.0,"Adventure,Comedy,Drama",6.6,86137
en,Rabbit Hole,9.389,12,6.8,292,91.0,Drama,7.0,45357
en,Wild Target,9.355,10,6.4,356,98.0,"Action,Comedy,Crime",6.8,33915
en,The Last Exorcism,9.35,8,5.6,519,87.0,"Drama,Horror,Thriller",5.6,45815
en,The Experiment,9.261,7,6.5,553,96.0,"Drama,Thriller",6.5,48248
en,The Experiment,9.261,7,6.5,553,89.0,"Crime,Documentary,Drama",6.8,9
en,The Experiment,9.261,7,6.5,553,65.0,Horror,2.6,85
de,Konferenz der Tiere,9.258,10,5.4,151,93.0,"Adventure,Animation,Comedy",4.9,5340
fr,L'arnacoeur,9.241,9,6.6,761,105.0,"Comedy,Romance",6.8,23995
en,The Last Song,9.237,3,7.2,2199,107.0,"Drama,Music,Romance",6.0,74914
it,Benvenuti al sud,9.188,12,6.7,1071,102.0,Comedy,6.5,7163
en,Yogi Bear,9.096,12,5.3,387,80.0,"Adventure,Animation,Comedy",4.6,18934
en,Secretariat,9.059,10,7.0,200,123.0,"Biography,Drama,Family",7.2,24536
en,The American,9.042,9,5.8,690,105.0,"Crime,Drama,Thriller",6.3,86863
en,Blue Valentine,8.994,12,6.9,1677,112.0,"Drama,Romance",7.4,170089
en,Vampires Suck,8.992,8,4.1,658,82.0,Comedy,3.4,43984
fr,Incendies,8.973,9,8.1,1034,131.0,"Drama,Mystery,War",8.3,124156
en,Takers,8.969,8,6.2,605,107.0,"Action,Crime,Thriller",6.2,53377
en,Skyline,8.847,11,4.8,833,92.0,"Action,Sci-Fi,Thriller",4.4,83710
en,Cop Out,8.82,2,5.4,796,107.0,"Action,Comedy,Crime",5.6,81656
en,Stake Land,8.799,10,6.2,415,98.0,"Drama,Horror,Sci-Fi",6.5,38749
en,Cave of Forgotten Dreams,8.762,11,7.3,143,90.0,"Documentary,History",7.4,14008
en,Exit Through the Gift Shop,8.696,1,7.7,467,87.0,"Comedy,Crime,Documentary",8.0,58721
es,Habitación en Roma,8.682,11,6.1,236,107.0,"Drama,Romance",6.2,20455
en,Burlesque,8.676,11,7.1,1195,119.0,"Drama,Music,Musical",6.4,71021
en,Elektra Luxx,8.595,3,4.9,74,100.0,"Comedy,Drama",5.1,6571
de,Wir sind die Nacht,8.57,11,6.2,129,99.0,"Drama,Fantasy,Horror",6.3,7305
en,Elena Undone,8.531,6,7.2,81,111.0,"Drama,Romance",6.2,4763
en,The Final,8.517,1,5.6,131,93.0,"Drama,Horror,Thriller",5.4,9979
en,Hatchet II,8.513,10,5.5,160,85.0,"Action,Comedy,Horror",5.5,11311
en,Ca$h,8.503,1,5.8,112,108.0,"Crime,Thriller",6.0,8605
en,Marmaduke,8.487,6,5.1,367,87.0,"Comedy,Family",4.2,13283
en,Get Him to the Greek,8.485,6,5.9,980,109.0,"Adventure,Comedy,Music",6.4,161653
en,Womb,8.483,7,6.1,159,111.0,"Drama,Romance,Sci-Fi",6.4,12489
en,London Boulevard,8.469,11,5.9,409,103.0,"Crime,Drama",6.2,44610
en,Twelve,8.46,7,5.9,147,93.0,"Action,Crime,Drama",5.7,11533
en,Twelve,8.46,7,5.9,147,92.0,"Family,Sport",6.5,132
en,The Kids Are All Right,8.426,7,6.6,854,106.0,"Comedy,Drama,Romance",7.0,120656
en,BloodRayne: The Third Reich,8.419,11,3.7,83,79.0,"Action,Adventure,Fantasy",3.0,5601
it,Peacock,8.414,4,6.1,104,90.0,"Drama,Horror,Thriller",6.3,10057
en,Don't Be Afraid of the Dark,8.405,11,5.5,550,99.0,"Fantasy,Horror,Thriller",5.6,44490
fr,L'illusionniste,8.404,12,7.4,280,80.0,"Animation,Drama",7.5,31734
en,Stone,8.401,10,5.2,334,105.0,"Drama,Thriller",5.4,38667
en,Welcome to the Rileys,8.348,10,6.5,241,110.0,Drama,7.0,22210
en,Rubber,8.319,9,5.9,417,82.0,"Comedy,Fantasy,Horror",5.8,31316
en,Bunraku,8.282,9,5.9,161,124.0,"Action,Drama,Fantasy",6.2,18350
en,Going the Distance,8.281,9,6.0,394,102.0,"Comedy,Romance",6.3,54421
es,Los ojos de Julia,8.268,10,6.7,415,118.0,"Horror,Mystery,Thriller",6.7,29259
en,The Warrior's Way,8.259,12,6.1,203,100.0,"Action,Fantasy,Western",6.3,24271
en,Last Night,8.244,9,6.1,444,93.0,"Drama,Romance",6.6,44728
en,Last Night,8.244,9,6.1,444,93.0,"Comedy,Drama,Romance",7.3,51
en,Last Night,8.244,9,6.1,444,104.0,Drama,6.8,110
en,Last Night,8.244,9,6.1,444,86.0,"Crime,Thriller",4.6,95
it,Mine vaganti,8.202,4,7.4,310,110.0,"Comedy,Drama,Romance",7.3,10462
en,The Runaways,8.19,3,6.4,448,106.0,"Biography,Drama,Music",6.6,43792
en,The Runaways,8.19,3,6.4,448,108.0,Adventure,9.2,47
en,Bloomington,8.176,6,6.6,65,83.0,Drama,6.0,4465
en,Paranormal Activity 2,8.163,10,5.7,1342,91.0,Horror,5.7,93122
en,The Company Men,8.109,10,6.6,349,104.0,Drama,6.8,41139
en,Alpha and Omega,8.108,9,5.4,227,90.0,"Adventure,Animation,Comedy",5.3,12463
en,13,8.007,3,5.7,392,91.0,"Drama,Thriller",6.1,38418
it,La solitudine dei numeri primi,7.959,10,5.8,218,118.0,Drama,6.3,3085
en,Burning Bright,7.938,8,6.0,113,86.0,"Drama,Horror,Thriller",5.9,5911
en,Hereafter,7.886,10,5.9,848,129.0,"Drama,Fantasy,Romance",6.5,87288
en,All Good Things,7.871,12,6.0,493,101.0,"Crime,Drama,Mystery",6.3,49684
en,The Dead,7.841,10,5.7,89,105.0,Horror,5.8,8347
en,The Ghost Writer,7.829,2,6.8,1135,128.0,"Drama,Mystery,Thriller",7.2,148274
en,Inhale,7.826,10,6.1,63,83.0,"Drama,Thriller",6.6,6006
en,She's Out of My League,7.775,3,6.1,970,104.0,"Comedy,Romance",6.4,117245
en,Boy,7.759,3,7.5,149,87.0,"Comedy,Drama",7.5,16672
en,Boy,7.759,3,7.5,149,48.0,Drama,6.2,33
en,Boy,7.759,3,7.5,149,112.0,"Crime,Drama,Family",7.3,10
tl,Boy,1.504,6,7.5,2,87.0,"Comedy,Drama",7.5,16672
tl,Boy,1.504,6,7.5,2,48.0,Drama,6.2,33
tl,Boy,1.504,6,7.5,2,112.0,"Crime,Drama,Family",7.3,10
da,Boy,0.718,6,6.0,4,87.0,"Comedy,Drama",7.5,16672
da,Boy,0.718,6,6.0,4,48.0,Drama,6.2,33
da,Boy,0.718,6,6.0,4,112.0,"Crime,Drama,Family",7.3,10
en,The Switch,7.745,8,6.1,1008,101.0,"Comedy,Drama,Romance",6.1,90661
en,Cyrus,7.735,6,6.0,201,87.0,"Crime,Horror,Mystery",4.7,944
en,Cyrus,7.735,6,6.0,201,91.0,"Comedy,Drama,Romance",6.3,32457
en,Lottery Ticket,7.699,8,5.7,92,99.0,Comedy,5.0,10042
es,Biutiful,7.697,12,7.2,546,148.0,"Drama,Romance",7.5,80382
en,The Romantics,7.676,9,4.9,145,95.0,"Comedy,Drama,Romance",5.1,11069
en,MacGruber,7.666,5,5.3,270,90.0,"Action,Comedy,Romance",5.5,39782
hi,My Name Is Khan,7.619,2,7.8,409,165.0,Drama,8.0,90988
no,Kongen av Bastøy,7.616,12,7.3,96,116.0,"Action,Drama",7.5,16289
en,Somewhere,7.596,12,6.1,376,97.0,"Comedy,Drama",6.3,40250
en,Greenberg,7.57,3,5.9,280,107.0,"Comedy,Drama,Romance",6.1,33702
en,Country Strong,7.567,12,6.3,126,117.0,"Drama,Music",6.3,16296
en,The Nutcracker in 3D,7.566,11,5.5,97,110.0,"Action,Family,Fantasy",4.3,3119
en,Conviction,7.51,10,7.2,297,107.0,"Biography,Crime,Drama",7.2,39771
en,The Way Back,7.503,9,6.9,759,133.0,"Adventure,Drama,History",7.3,102126
en,Ramona and Beezus,7.442,7,6.3,460,103.0,"Adventure,Comedy,Family",6.6,16086
en,Tamara Drewe,7.364,12,5.8,226,107.0,"Comedy,Drama,Romance",6.2,19362
en,Barney's Version,7.357,1,7.2,210,134.0,"Comedy,Drama",7.3,23058
en,Meek's Cutoff,7.309,10,6.5,113,104.0,"Drama,Western",6.6,10439
es,Secuestrados,7.297,6,6.3,98,85.0,"Horror,Thriller",6.4,6729
