original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
The Extra Man,Magn.,4500,2010-07-30,7000000.0,453377.0,492108.0
The Tempest,Mira.,68700,2010-12-10,20000000.0,277943.0,277943.0
The Good Heart,Magn.,323000,2010-04-30,3800000.0,20930.0,340930.0
Welcome to the Rileys,Gold.,158000,2010-10-29,10000000.0,152857.0,355919.0
The Girl on the Train,Strand,97100,2016-10-07,45000000.0,75395035.0,174278214.0
"Lovely, Still",Mont.,106000,2010-09-10,5000000.0,127564.0,282687.0
The Eclipse,Magn.,26400,2010-03-26,3000000.0,133411.0,133411.0
George A. Romero's Survival of the Dead,Magn.,41500,2010-05-28,4200000.0,101740.0,101740.0
Freakonomics,Magn.,16400,2010-10-01,2900000.0,101270.0,172867.0
Saint John of Las Vegas,IVP,9100,2010-01-29,2000000.0,102645.0,102645.0
Transformers: Dark of the Moon,P/DW,771400000,2011-06-29,195000000.0,352390543.0,1123790543.0
Pirates of the Caribbean: On Stranger Tides,BV,804600000,2011-05-20,410600000.0,241063875.0,1045663875.0
Kung Fu Panda 2,P/DW,500400000,2011-05-26,150000000.0,165249063.0,664837547.0
Fast Five,Uni.,416300000,2011-04-29,125000000.0,210031325.0,630163454.0
The Hangover Part II,WB,332300000,2011-05-26,80000000.0,254464305.0,586464305.0
The Smurfs,Sony,421100000,2011-07-29,110000000.0,142614158.0,563749323.0
Cars 2,BV,370700000,2011-06-24,200000000.0,191450875.0,560155383.0
Puss in Boots,P/DW,405700000,2011-10-28,130000000.0,149260504.0,554987477.0
Sherlock Holmes: A Game of Shadows,WB,358600000,2011-12-16,125000000.0,186848418.0,535663443.0
Rio,Fox,341000000,2011-04-15,90000000.0,143619809.0,487519809.0
Rise of the Planet of the Apes,Fox,305000000,2011-08-05,93000000.0,176760185.0,470986200.0
Thor,Par.,268300000,2011-05-06,150000000.0,181030624.0,449326618.0
The Adventures of Tintin,Par.,296400000,2011-12-21,130000000.0,77591831.0,373993951.0
Captain America: The First Avenger,Par.,193900000,2011-07-22,140000000.0,176654505.0,370569776.0
X-Men: First Class,Fox,207200000,2011-06-03,160000000.0,146408305.0,355408305.0
Alvin and the Chipmunks: Chipwrecked,Fox,209600000,2011-12-16,80000000.0,133107389.0,349088523.0
Real Steel,BV,213800000,2011-10-07,110000000.0,85463309.0,263880341.0
Bridesmaids,Uni.,119300000,2011-05-13,32500000.0,169211718.0,289632023.0
Super 8,Par.,133100000,2011-06-10,50000000.0,127004179.0,257972745.0
Rango,Par.,122200000,2011-03-04,135000000.0,123477607.0,245724600.0
The Green Hornet,Sony,129000000,2011-01-14,110000000.0,98780042.0,229155503.0
Immortals,Rela.,143400000,2011-11-11,75000000.0,83504017.0,211562435.0
Green Lantern,WB,103300000,2011-06-17,200000000.0,116601172.0,219535492.0
The Help,BV,46900000,2011-08-10,25000000.0,169705587.0,213120004.0
Bad Teacher,Sony,115900000,2011-06-24,19000000.0,100292856.0,215448997.0
Just Go With It,Sony,111900000,2011-02-11,80000000.0,103028109.0,214974953.0
Battle: Los Angeles,Sony,128300000,2011-03-11,70000000.0,83552429.0,213463976.0
Horrible Bosses,WB (NL),92100000,2011-07-08,35000000.0,117538559.0,212417601.0
Paranormal Activity 3,Par.,103000000,2011-10-21,5000000.0,104028807.0,207039844.0
Gnomeo and Juliet,BV,94000000,2011-02-11,36000000.0,99967670.0,193737977.0
Hugo,Par.,111900000,2011-11-23,180000000.0,73864507.0,180047784.0
Hop,Uni.,75900000,2011-04-01,63000000.0,108085305.0,188657593.0
War Horse,BV,97700000,2011-12-25,70000000.0,79883359.0,156815529.0
The Descendants,FoxS,94700000,2011-11-16,20000000.0,82624961.0,175507800.0
In Time,Fox,136400000,2011-10-28,35000000.0,37553932.0,165103952.0
Zookeeper,Sony,89500000,2011-07-08,80000000.0,80360866.0,170805525.0
The Muppets,BV,76600000,2011-11-23,45000000.0,88625922.0,160971922.0
