original_title,studio,foreign_gross,release_date,production_budget,domestic_gross,worldwide_gross
Bohemian Rhapsody,Fox,687200000,2018-11-02,55000000.0,216303339.0,894985342.0
Deadpool 2,Fox,460500000,2018-05-18,110000000.0,324591735.0,786680557.0
Fantastic Beasts: The Crimes of Grindelwald,WB,494100000,2018-11-16,200000000.0,159555901.0,652220086.0
Ant-Man and the Wasp,BV,406000000,2018-07-06,130000000.0,216648740.0,623144660.0
Ready Player One,WB,445200000,2018-03-29,150000000.0,137690172.0,579290136.0
The Meg,WB,384800000,2018-08-10,178000000.0,145443742.0,529530715.0
Hotel Transylvania 3: Summer Vacation,Sony,361100000,2018-07-13,65000000.0,167500092.0,527079962.0
Bumblebee,Par.,340800000,2018-12-21,102000000.0,127195589.0,465195589.0
Solo: A Star Wars Story,BV,179200000,2018-05-25,275000000.0,213767512.0,393151347.0
Fifty Shades Freed,Uni.,271500000,2018-02-09,55000000.0,100407760.0,371350619.0
Peter Rabbit,Sony,236000000,2018-02-09,50000000.0,115234093.0,347136477.0
Mary Poppins Returns,BV,177600000,2018-12-19,130000000.0,171958438.0,341528518.0
A Quiet Place,Par.,152900000,2018-04-06,17000000.0,188024361.0,334522294.0
Green Book,Uni.,234700000,2018-11-16,23000000.0,85080171.0,322034439.0
Skyscraper,Uni.,236400000,2018-07-13,125000000.0,68420120.0,304115534.0
Maze Runner: The Death Cure,Fox,230200000,2018-01-26,61000000.0,58032443.0,265878536.0
Tomb Raider,WB,216400000,2018-03-16,90000000.0,58250803.0,273477501.0
Crazy Rich Asians,WB,64000000,2018-08-15,30000000.0,174532921.0,238099711.0
Smallfoot,WB,130900000,2018-09-28,80000000.0,83240103.0,213691277.0
Creed II,MGM,98300000,2018-11-21,50000000.0,115715889.0,213591522.0
The Equalizer 2,Sony,88300000,2018-07-20,77000000.0,102084362.0,190453132.0
The Nutcracker and the Four Realms,BV,119100000,2018-11-02,132900000.0,54858851.0,170293899.0
The Mule,WB,68700000,2018-12-14,50000000.0,103804407.0,170857676.0
Insidious: The Last Key,Uni.,100100000,2018-01-05,10000000.0,67745330.0,167885588.0
Red Sparrow,Fox,104700000,2018-03-02,69000000.0,46874505.0,145951861.0
The First Purge,Uni.,67500000,2018-07-04,13000000.0,69488745.0,136617305.0
A Wrinkle in Time,BV,32200000,2018-03-09,103000000.0,100478608.0,133401882.0
Instant Family,Par.,53200000,2018-11-16,48000000.0,67363237.0,119736188.0
The Commuter,LGF,83600000,2018-01-12,40000000.0,36343858.0,101985431.0
Game Night,WB (NL),48500000,2018-02-23,37000000.0,69179066.0,117378084.0
First Man,Uni.,60800000,2018-10-12,60000000.0,44936545.0,105203825.0
Alpha,Studio 8,62300000,2018-08-17,51000000.0,35851379.0,99624873.0
A Simple Favor,LGF,44100000,2018-09-14,20000000.0,53548586.0,97628717.0
The Favourite,FoxS,61600000,2018-11-23,15000000.0,34366783.0,94113929.0
Truth or Dare,Uni.,53900000,2018-04-13,3500000.0,41411015.0,95127344.0
I Feel Pretty,STX,45700000,2018-04-20,32000000.0,48795601.0,91553797.0
Blockers,Uni.,33700000,2018-04-06,21000000.0,60311495.0,94045328.0
Goosebumps 2: Haunted Halloween,Sony,46600000,2018-10-12,35000000.0,46697321.0,93291478.0
BlacKkKlansman,Focus,44000000,2018-08-10,15000000.0,49275340.0,93017335.0
Sherlock Gnomes,Par.,47100000,2018-03-23,59000000.0,43242871.0,87527651.0
Mortal Engines,Uni.,67700000,2018-12-14,100000000.0,15951040.0,85287417.0
Den of Thieves,STX,35600000,2018-01-19,30000000.0,44947622.0,80131391.0
Hereditary,A24,35300000,2018-06-08,10000000.0,44069456.0,70133905.0
Tag,WB (NL),23400000,2018-06-15,28000000.0,54730625.0,77026186.0
Vice,Annapurna,28200000,2018-12-25,60000000.0,47836282.0,70883171.0
Widows,Fox,33600000,2018-11-16,40000000.0,42402632.0,73866088.0
Sicario: Day of the Soldado,Sony,25800000,2018-06-29,35000000.0,50065850.0,75885196.0
Second Act,STX,33000000,2018-12-21,15700000.0,39282227.0,63288854.0
12 Strong,WB,21600000,2018-01-19,35000000.0,45819713.0,71118378.0
"Love, Simon",Fox,25500000,2018-03-16,10000000.0,40826341.0,65520633.0
Mile 22,STX,30200000,2018-08-17,35000000.0,36108758.0,66295121.0
Life of the Party,WB (NL),12800000,2018-05-11,30000000.0,53059911.0,65759911.0
Adrift,STX,28500000,2018-06-01,35000000.0,31445011.0,57897191.0
The 15:17 to Paris,WB,20800000,2018-02-09,30000000.0,36276286.0,56096200.0
Early Man,LGF,46400000,2018-02-16,50000000.0,8267544.0,45285890.0
Peppermint,STX,18400000,2018-09-07,25000000.0,35418723.0,51800758.0
Teen Titans Go! To The Movies,WB,22300000,2018-07-27,10000000.0,29790236.0,51620593.0
Slender Man,SGem,21200000,2018-08-10,10000000.0,30564825.0,51723644.0
Uncle Drew,LG/S,4200000,2018-06-29,18000000.0,42469946.0,46527161.0
Mary Queen of Scots,Focus,29900000,2018-12-07,25000000.0,16468499.0,46734733.0
The Possession of Hannah Grace,SGem,28200000,2018-11-30,6000000.0,14836174.0,42785387.0
The Darkest Minds,Fox,28400000,2018-08-03,34000000.0,12695691.0,38361428.0
On the Basis of Sex,Focus,13600000,2018-12-25,20000000.0,24622687.0,38073377.0
The Hate U Give,Fox,5200000,2018-10-05,23000000.0,29719483.0,35067665.0
White Boy Rick,Studio 8,1900000,2018-09-14,30000000.0,24004833.0,25947983.0
"Paul, Apostle of Christ",Affirm,5500000,2018-03-23,5000000.0,17547999.0,25529498.0
Proud Mary,SGem,876000,2018-01-12,30000000.0,20868638.0,21709539.0
Superfly,Sony,236000,2018-06-13,16000000.0,20537137.0,20723581.0
If Beale Street Could Talk,Annapurna,5700000,2018-12-14,12000000.0,14915773.0,19859167.0
Hell Fest,LGF,7100000,2018-09-28,5500000.0,11107431.0,18119231.0
Unfriended: Dark Web,BH Tilt,6300000,2018-07-20,1000000.0,8866745.0,16434588.0
Upgrade,BH Tilt,2400000,2018-06-01,3000000.0,11977130.0,16553285.0
Unsane,BST,6600000,2018-03-23,1500000.0,7690044.0,14244931.0
The Sisters Brothers,Annapurna,10000000,2018-09-21,38000000.0,3143056.0,13143056.0
Welcome to Marwen,Uni.,2100000,2018-12-21,45000000.0,10763520.0,12874922.0
Hotel Artemis,Global Road,6000000,2018-06-08,15000000.0,6708137.0,12758799.0
Kin,LGF,4300000,2018-08-31,30000000.0,5718096.0,10096821.0
Suspiria,Amazon,5400000,2018-10-26,20000000.0,2483472.0,7034615.0
Destroyer,Annapurna,4000000,2018-12-25,9000000.0,1533324.0,3681096.0
Bilal: A New Breed of Hero,VE,1700000,2018-02-02,30000000.0,490973.0,648599.0
